SaleDate,PRODUCT_CATEGORY,UNIT_OF_MEASURE,RecordNo,TOTAL_$,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCCLastUpdated
1/12/2021,Infused (non-edible),Each,7017,8246.88,271,8246.88,0,0,271,3/22/2024
1/12/2021,Shake/Trim (by strain),Grams,7017,11314.5,0,0,1201.75,11314.5,1201.75,3/22/2024
1/12/2021,Shake/Trim,Grams,7017,390,0,0,13,390,13,3/22/2024
1/12/2021,Infused Pre-Rolls,Grams,7017,9039.18,0,0,384.2,9039.18,384.2,3/22/2024
1/12/2021,Raw Pre-Rolls,Grams,7017,281959.59,0,0,18773.47,281959.59,18773.47,3/22/2024
1/12/2021,Kief,Grams,7017,2967.83,0,0,102,2967.83,102,3/22/2024
1/12/2021,Concentrate,Grams,7017,43925.22,0,0,647.5,43925.22,647.5,3/22/2024
1/13/2021,Concentrate,Grams,7028,40901.74,0,0,603,40901.74,603,3/22/2024
1/13/2021,Shake/Trim (by strain),Grams,7028,8640.25,0,0,837.5,8640.25,837.5,3/22/2024
1/13/2021,Raw Pre-Rolls,Grams,7028,309573.25,0,0,20367.26,309573.25,20367.26,3/22/2024
1/13/2021,Vape Product,Each,7028,479733.16,8141,479733.16,0,0,8141,3/22/2024
1/13/2021,Infused (non-edible),Each,7028,10314.36,310,10314.36,0,0,310,3/22/2024
1/13/2021,Concentrate (Each),Each,7028,165940.51,3202,165940.51,0,0,3202,3/22/2024
1/13/2021,Kief,Grams,7028,2480.35,0,0,84,2480.35,84,3/22/2024
1/13/2021,Buds,Grams,7028,1252371.97,0,0,89179.73,1252371.97,89179.73,3/22/2024
1/13/2021,Infused (edible),Each,7028,332858.36,12105,332858.36,0,0,12105,3/22/2024
1/13/2021,Shake/Trim,Grams,7028,1320,0,0,100,1320,100,3/22/2024
1/13/2021,Infused Pre-Rolls,Grams,7028,9472.76,0,0,409.6,9472.76,409.6,3/22/2024
1/14/2021,Concentrate,Grams,7039,47718.59,0,0,699.5,47718.59,699.5,3/22/2024
1/14/2021,Infused (edible),Each,7039,365956.98,13536,365956.98,0,0,13536,3/22/2024
1/14/2021,Infused (non-edible),Each,7039,10648.99,358,10648.99,0,0,358,3/22/2024
1/14/2021,Buds,Grams,7039,1274323.14,0,0,89565.65,1274323.14,89565.65,3/22/2024
1/14/2021,Kief,Grams,7039,3048.35,0,0,107,3048.35,107,3/22/2024
1/14/2021,Raw Pre-Rolls,Grams,7039,309508.02,0,0,20164.27,309508.02,20164.27,3/22/2024
1/14/2021,Shake/Trim,Grams,7039,1763.34,0,0,146,1763.34,146,3/22/2024
1/14/2021,Concentrate (Each),Each,7039,174422.93,3379,174422.93,0,0,3379,3/22/2024
1/14/2021,Infused Pre-Rolls,Grams,7039,10606.61,0,0,457.3,10606.61,457.3,3/22/2024
1/14/2021,Vape Product,Each,7039,505388.71,8681,505388.71,0,0,8681,3/22/2024
1/14/2021,Shake/Trim (by strain),Grams,7039,9621.33,0,0,1052,9621.33,1052,3/22/2024
1/15/2021,Shake/Trim (by strain),Grams,7050,13206.75,0,0,1409.5,13206.75,1409.5,3/22/2024
1/15/2021,Vape Product,Each,7050,669072.3,11546,669072.3,0,0,11546,3/22/2024
1/15/2021,Buds,Grams,7050,1658962.9,0,0,116086.01,1658962.9,116086.01,3/22/2024
1/15/2021,Concentrate (Each),Each,7050,227946.06,4439,227946.06,0,0,4439,3/22/2024
1/15/2021,Concentrate,Grams,7050,61613.22,0,0,913,61613.22,913,3/22/2024
1/15/2021,Kief,Grams,7050,5362.7,0,0,188,5362.7,188,3/22/2024
1/15/2021,Infused (edible),Each,7050,551079.54,20055,551079.54,0,0,20055,3/22/2024
1/15/2021,Infused Pre-Rolls,Grams,7050,16075.29,0,0,675.55,16075.29,675.55,3/22/2024
1/15/2021,Shake/Trim,Grams,7050,2896.01,0,0,230,2896.01,230,3/22/2024
1/15/2021,Raw Pre-Rolls,Grams,7050,420109.24,0,0,27353.98,420109.24,27353.98,3/22/2024
1/15/2021,Infused (non-edible),Each,7050,15583.77,523,15583.77,0,0,523,3/22/2024
1/16/2021,Shake/Trim (by strain),Grams,7061,8916.15,0,0,910.5,8916.15,910.5,3/22/2024
1/16/2021,Infused (edible),Each,7061,629660.1,22760,629660.1,0,0,22760,3/22/2024
1/16/2021,Infused (non-edible),Each,7061,20441.71,615,20441.71,0,0,615,3/22/2024
1/16/2021,Raw Pre-Rolls,Grams,7061,384554.68,0,0,24999.6,384554.68,24999.6,3/22/2024
1/16/2021,Concentrate (Each),Each,7061,238039.46,4540,238039.46,0,0,4540,3/22/2024
1/16/2021,Kief,Grams,7061,3953.19,0,0,137,3953.19,137,3/22/2024
1/16/2021,Shake/Trim,Grams,7061,1081.26,0,0,86,1081.26,86,3/22/2024
1/16/2021,Concentrate,Grams,7061,58389.29,0,0,859,58389.29,859,3/22/2024
1/16/2021,Buds,Grams,7061,1598113.09,0,0,112287.03,1598113.09,112287.03,3/22/2024
1/16/2021,Infused Pre-Rolls,Grams,7061,14405.81,0,0,612.25,14405.81,612.25,3/22/2024
1/16/2021,Vape Product,Each,7061,694891.98,11855,694891.98,0,0,11855,3/22/2024
1/17/2021,Vape Product,Each,7072,562123.67,9595,562123.67,0,0,9595,3/22/2024
1/17/2021,Infused Pre-Rolls,Grams,7072,10815.2,0,0,467.7,10815.2,467.7,3/22/2024
1/17/2021,Buds,Grams,7072,1259503.24,0,0,88663.93,1259503.24,88663.93,3/22/2024
1/17/2021,Shake/Trim,Grams,7072,628.34,0,0,42,628.34,42,3/22/2024
1/17/2021,Raw Pre-Rolls,Grams,7072,322195.25,0,0,21016.05,322195.25,21016.05,3/22/2024
1/17/2021,Infused (non-edible),Each,7072,12675.11,379,12675.11,0,0,379,3/22/2024
1/17/2021,Concentrate (Each),Each,7072,180313.97,3505,180313.97,0,0,3505,3/22/2024
1/17/2021,Shake/Trim (by strain),Grams,7072,8482.4,0,0,837.5,8482.4,837.5,3/22/2024
1/17/2021,Infused (edible),Each,7072,478116.33,17099,478116.33,0,0,17099,3/22/2024
1/17/2021,Kief,Grams,7072,2926.1,0,0,100,2926.1,100,3/22/2024
1/17/2021,Concentrate,Grams,7072,41643.54,0,0,603,41643.54,603,3/22/2024
1/18/2021,Infused Pre-Rolls,Grams,7083,9482,0,0,407.9,9482,407.9,3/22/2024
1/18/2021,Kief,Grams,7083,2324.67,0,0,86,2324.67,86,3/22/2024
1/18/2021,Vape Product,Each,7083,499194.92,8547,499194.92,0,0,8547,3/22/2024
1/18/2021,Raw Pre-Rolls,Grams,7083,281189.54,0,0,18467.9,281189.54,18467.9,3/22/2024
1/18/2021,Concentrate (Each),Each,7083,148230.41,2894,148230.41,0,0,2894,3/22/2024
1/18/2021,Shake/Trim (by strain),Grams,7083,9033.84,0,0,873.5,9033.84,873.5,3/22/2024
1/18/2021,Buds,Grams,7083,1101687.53,0,0,77984.22,1101687.53,77984.22,3/22/2024
1/18/2021,Shake/Trim,Grams,7083,434.17,0,0,25,434.17,25,3/22/2024
1/18/2021,Concentrate,Grams,7083,32906.7,0,0,481,32906.7,481,3/22/2024
1/18/2021,Infused (edible),Each,7083,378053.54,13513,378053.54,0,0,13513,3/22/2024
1/18/2021,Infused (non-edible),Each,7083,10579.87,309,10579.87,0,0,309,3/22/2024
1/19/2021,Buds,Grams,7094,1087615.88,0,0,76917.29,1087615.88,76917.29,3/22/2024
1/19/2021,Shake/Trim (by strain),Grams,7094,8881.91,0,0,959.75,8881.91,959.75,3/22/2024
1/19/2021,Infused (edible),Each,7094,296275.44,10500,296275.44,0,0,10500,3/22/2024
1/19/2021,Vape Product,Each,7094,430435.04,7416,430435.04,0,0,7463.5,3/22/2024
1/19/2021,Concentrate,Grams,7094,30382.54,0,0,462,30382.54,462,3/22/2024
1/19/2021,Kief,Grams,7094,2398.02,0,0,84,2398.02,84,3/22/2024
1/19/2021,Infused Pre-Rolls,Grams,7094,8825.38,0,0,374.8,8825.38,374.8,3/22/2024
1/19/2021,Infused (non-edible),Each,7094,7622.83,274,7622.83,0,0,274,3/22/2024
1/19/2021,Concentrate (Each),Each,7094,142182.28,2704,142182.28,0,0,2704,3/22/2024
1/19/2021,Raw Pre-Rolls,Grams,7094,259138.74,0,0,17083.65,259138.74,17083.65,3/22/2024
1/19/2021,Shake/Trim,Grams,7094,300,0,0,10,300,10,3/22/2024
1/20/2021,Shake/Trim (by strain),Grams,7105,10805,0,0,1119.25,10805,1119.25,3/22/2024
1/20/2021,Infused Pre-Rolls,Grams,7105,10894,0,0,470.9,10894,470.9,3/22/2024
1/20/2021,Infused (non-edible),Each,7105,7668.56,267,7668.56,0,0,267,3/22/2024
1/20/2021,Buds,Grams,7105,1163575.3,0,0,82149.52,1163575.3,82149.52,3/22/2024
1/20/2021,Shake/Trim,Grams,7105,968.05,0,0,71,968.05,71,3/22/2024
1/20/2021,Infused (edible),Each,7105,305407.67,11276,305407.67,0,0,11276,3/22/2024
1/20/2021,Vape Product,Each,7105,452289.14,7914,452289.14,0,0,7914,3/22/2024
1/20/2021,Concentrate,Grams,7105,40177.44,0,0,593.5,40177.44,593.5,3/22/2024
1/20/2021,Raw Pre-Rolls,Grams,7105,290790.89,0,0,19184.15,290790.89,19184.15,3/22/2024
1/20/2021,Kief,Grams,7105,2106.01,0,0,74,2106.01,74,3/22/2024
1/20/2021,Concentrate (Each),Each,7105,153431.17,2942,153431.17,0,0,2942,3/22/2024
1/21/2021,Vape Product,Each,7116,502948.37,8644,502948.37,0,0,8644,3/22/2024
1/21/2021,Buds,Grams,7116,1260127.63,0,0,88724.11,1260127.63,88724.11,3/22/2024
1/21/2021,Shake/Trim (by strain),Grams,7116,24331.25,0,0,2898.75,24331.25,2898.75,3/22/2024
1/21/2021,Infused (non-edible),Each,7116,9835.93,288,9835.93,0,0,288,3/22/2024
1/21/2021,Raw Pre-Rolls,Grams,7116,305590.93,0,0,20144.25,305590.93,20144.25,3/22/2024
1/21/2021,Shake/Trim,Grams,7116,1076.68,0,0,78,1076.68,78,3/22/2024
1/21/2021,Kief,Grams,7116,2417.49,0,0,87,2417.49,87,3/22/2024
1/21/2021,Concentrate,Grams,7116,38063.54,0,0,561.5,38063.54,561.5,3/22/2024
1/21/2021,Infused Pre-Rolls,Grams,7116,10509,0,0,442.9,10509,442.9,3/22/2024
1/21/2021,Infused (edible),Each,7116,359218.56,13151,359218.56,0,0,13151,3/22/2024
1/21/2021,Concentrate (Each),Each,7116,160728.51,3129,160728.51,0,0,3129,3/22/2024
1/22/2021,Infused (edible),Each,7127,522514.52,19269,522514.52,0,0,19269,3/22/2024
1/22/2021,Concentrate,Grams,7127,50307.26,0,0,747.5,50307.26,747.5,3/22/2024
1/22/2021,Infused (non-edible),Each,7127,9092.37,258,9092.37,0,0,258,3/22/2024
1/22/2021,Raw Pre-Rolls,Grams,7127,399310.7,0,0,26192,399310.7,26192,3/22/2024
1/22/2021,Vape Product,Each,7127,652026.79,11164,652026.79,0,0,11164,3/22/2024
1/22/2021,Kief,Grams,7127,2838,0,0,99,2838,99,3/22/2024
1/22/2021,Shake/Trim,Grams,7127,718.34,0,0,45,718.34,45,3/22/2024
1/22/2021,Concentrate (Each),Each,7127,206217.55,3998,206217.55,0,0,3998,3/22/2024
1/22/2021,Infused Pre-Rolls,Grams,7127,14659.26,0,0,636.45,14659.26,636.45,3/22/2024
1/22/2021,Shake/Trim (by strain),Grams,7127,21950.01,0,0,2743.5,21950.01,2743.5,3/22/2024
1/22/2021,Buds,Grams,7127,1575742.37,0,0,110381.46,1575742.37,110381.46,3/22/2024
1/23/2021,Kief,Grams,7138,2920.67,0,0,103,2920.67,103,3/22/2024
1/23/2021,Buds,Grams,7138,1596048.65,0,0,111713.17,1596048.65,111713.17,3/22/2024
1/23/2021,Shake/Trim (by strain),Grams,7138,15883,0,0,1805.5,15883,1805.5,3/22/2024
1/23/2021,Infused Pre-Rolls,Grams,7138,17429.5,0,0,746.15,17429.5,746.15,3/22/2024
1/23/2021,Raw Pre-Rolls,Grams,7138,392594.94,0,0,25788.5,392594.94,25788.5,3/22/2024
1/23/2021,Concentrate,Grams,7138,49972.31,0,0,732.5,49972.31,732.5,3/22/2024
1/23/2021,Concentrate (Each),Each,7138,229881.3,4435,229881.3,0,0,4435,3/22/2024
1/23/2021,Infused (edible),Each,7138,652171.26,23651,652171.26,0,0,23651,3/22/2024
1/23/2021,Vape Product,Each,7138,710758.69,12217,710758.69,0,0,12217,3/22/2024
1/23/2021,Infused (non-edible),Each,7138,13004.21,345,13004.21,0,0,345,3/22/2024
1/23/2021,Shake/Trim,Grams,7138,898.34,0,0,51,898.34,51,3/22/2024
1/24/2021,Shake/Trim (by strain),Grams,7149,8785.46,0,0,846.5,8785.46,846.5,3/22/2024
1/24/2021,Buds,Grams,7149,1100806.04,0,0,76732.36,1100806.04,76732.36,3/22/2024
1/24/2021,Concentrate (Each),Each,7149,155730.13,3057,155730.13,0,0,3057,3/22/2024
1/24/2021,Infused (edible),Each,7149,390249.59,14216,390249.59,0,0,14216,3/22/2024
1/24/2021,Shake/Trim,Grams,7149,224.17,0,0,18,224.17,18,3/22/2024
1/24/2021,Concentrate,Grams,7149,33535.92,0,0,500,33535.92,500,3/22/2024
1/24/2021,Raw Pre-Rolls,Grams,7149,272900.44,0,0,17978.25,272900.44,17978.25,3/22/2024
1/24/2021,Infused (non-edible),Each,7149,10085.14,307,10085.14,0,0,307,3/22/2024
1/24/2021,Vape Product,Each,7149,489017.39,8415,489017.39,0,0,8415,3/22/2024
1/24/2021,Kief,Grams,7149,2292.48,0,0,81,2292.48,81,3/22/2024
1/24/2021,Infused Pre-Rolls,Grams,7149,12430,0,0,523.7,12430,523.7,3/22/2024
1/25/2021,Shake/Trim,Grams,7160,267.09,0,0,31,267.09,31,3/22/2024
1/25/2021,Concentrate,Grams,7160,29206.6,0,0,436.5,29206.6,436.5,3/22/2024
1/25/2021,Buds,Grams,7160,1060869.65,0,0,74548.58,1060869.65,74548.58,3/22/2024
1/25/2021,Raw Pre-Rolls,Grams,7160,265508.24,0,0,17689.4,265508.24,17689.4,3/22/2024
1/25/2021,Vape Product,Each,7160,418622.25,7259,418622.25,0,0,7259,3/22/2024
1/25/2021,Infused Pre-Rolls,Grams,7160,9552,0,0,402.85,9552,402.85,3/22/2024
1/25/2021,Concentrate (Each),Each,7160,145977.56,2839,145977.56,0,0,2839,3/22/2024
1/25/2021,Infused (non-edible),Each,7160,7302.06,213,7302.06,0,0,213,3/22/2024
1/25/2021,Kief,Grams,7160,1833.49,0,0,64,1833.49,64,3/22/2024
1/25/2021,Infused (edible),Each,7160,291512.43,10551,291512.43,0,0,10551,3/22/2024
1/25/2021,Shake/Trim (by strain),Grams,7160,7030.4,0,0,669,7030.4,669,3/22/2024
1/26/2021,Shake/Trim (by strain),Grams,7171,10921.7,0,0,1210.25,10921.7,1210.25,3/22/2024
1/26/2021,Infused (non-edible),Each,7171,5575.13,155,5575.13,0,0,155,3/22/2024
1/26/2021,Buds,Grams,7171,1031456.23,0,0,72763.48,1031456.23,72763.48,3/22/2024
1/26/2021,Concentrate (Each),Each,7171,136014.14,2652,136014.14,0,0,2652,3/22/2024
1/26/2021,Raw Pre-Rolls,Grams,7171,256137.26,0,0,17084.9,256137.26,17084.9,3/22/2024
1/26/2021,Kief,Grams,7171,1900.5,0,0,66,1900.5,66,3/22/2024
1/26/2021,Vape Product,Each,7171,389301.46,6860,389301.46,0,0,6860,3/22/2024
1/26/2021,Shake/Trim,Grams,7171,164.17,0,0,16,164.17,16,3/22/2024
1/26/2021,Infused (edible),Each,7171,269759.24,9785,269759.24,0,0,9785,3/22/2024
1/26/2021,Infused Pre-Rolls,Grams,7171,6855.28,0,0,274.85,6855.28,274.85,3/22/2024
1/26/2021,Concentrate,Grams,7171,35560.8,0,0,542.5,35560.8,542.5,3/22/2024
1/27/2021,Infused (edible),Each,7182,285884.7,10619,285884.7,0,0,10619,3/22/2024
1/27/2021,Infused Pre-Rolls,Grams,7182,9259.05,0,0,387.9,9259.05,387.9,3/22/2024
1/27/2021,Shake/Trim (by strain),Grams,7182,17160.16,0,0,1855.5,17160.16,1855.5,3/22/2024
1/27/2021,Raw Pre-Rolls,Grams,7182,281114.98,0,0,18608.45,281114.98,18608.45,3/22/2024
1/27/2021,Concentrate (Each),Each,7182,155890.05,3060,155890.05,0,0,3060,3/22/2024
1/27/2021,Infused (non-edible),Each,7182,6755.75,174,6755.75,0,0,174,3/22/2024
1/27/2021,Kief,Grams,7182,2161.37,0,0,94,2161.37,94,3/22/2024
1/27/2021,Buds,Grams,7182,1082471.43,0,0,75901.33,1082471.43,75901.33,3/22/2024
1/27/2021,Vape Product,Each,7182,426317.71,7529,426317.71,0,0,7529,3/22/2024
1/27/2021,Shake/Trim,Grams,7182,450,0,0,15,450,15,3/22/2024
1/27/2021,Concentrate,Grams,7182,35326.83,0,0,533.5,35326.83,533.5,3/22/2024
1/28/2021,Concentrate,Grams,7193,42834.46,0,0,649,42834.46,649,3/22/2024
1/28/2021,Infused Pre-Rolls,Grams,7193,11036.63,0,0,455.7,11036.63,455.7,3/22/2024
1/28/2021,Infused (non-edible),Each,7193,7654.54,202,7654.54,0,0,202,3/22/2024
1/28/2021,Shake/Trim,Grams,7193,568.34,0,0,40,568.34,40,3/22/2024
1/28/2021,Buds,Grams,7193,1285267.27,0,0,90223.77,1285267.27,90223.77,3/22/2024
1/28/2021,Kief,Grams,7193,2704.11,0,0,97,2704.11,97,3/22/2024
1/28/2021,Shake/Trim (by strain),Grams,7193,12292.15,0,0,1504.5,12292.15,1504.5,3/22/2024
1/28/2021,Infused (edible),Each,7193,376519.31,13660,376519.31,0,0,13660,3/22/2024
1/28/2021,Concentrate (Each),Each,7193,183814.79,3518,183814.79,0,0,3518,3/22/2024
1/28/2021,Raw Pre-Rolls,Grams,7193,332012.61,0,0,21854.9,332012.61,21854.9,3/22/2024
1/28/2021,Vape Product,Each,7193,514278.83,8864,514278.83,0,0,8864,3/22/2024
1/29/2021,Buds,Grams,7204,1581225.76,0,0,110736.76,1581225.76,110736.76,3/22/2024
1/29/2021,Infused Pre-Rolls,Grams,7204,14487.71,0,0,612.25,14487.71,612.25,3/22/2024
1/29/2021,Concentrate (Each),Each,7204,229655.47,4378,229655.47,0,0,4378,3/22/2024
1/29/2021,Shake/Trim,Grams,7204,880.85,0,0,82,880.85,82,3/22/2024
1/29/2021,Vape Product,Each,7204,654812.97,11350,654812.97,0,0,11350,3/22/2024
1/29/2021,Infused (edible),Each,7204,524224.03,19155,524224.03,0,0,19155,3/22/2024
1/29/2021,Raw Pre-Rolls,Grams,7204,403367.86,0,0,26705.1,403367.86,26705.1,3/22/2024
1/29/2021,Infused (non-edible),Each,7204,9806.97,282,9806.97,0,0,282,3/22/2024
1/29/2021,Concentrate,Grams,7204,56499.01,0,0,844.75,56499.01,844.75,3/22/2024
1/29/2021,Kief,Grams,7204,3647.37,0,0,126,3647.37,126,3/22/2024
1/29/2021,Shake/Trim (by strain),Grams,7204,18488.5,0,0,2398,18488.5,2398,3/22/2024
1/30/2021,Raw Pre-Rolls,Grams,7215,396435.07,0,0,26083.1,396435.07,26083.1,3/22/2024
1/30/2021,Concentrate,Grams,7215,47308.55,0,0,711.95,47308.55,711.95,3/22/2024
1/30/2021,Infused (non-edible),Each,7215,17672.42,466,17672.42,0,0,466,3/22/2024
1/30/2021,Shake/Trim (by strain),Grams,7215,16976.21,0,0,2159.5,16976.21,2159.5,3/22/2024
1/30/2021,Concentrate (Each),Each,7215,248627.54,4733,248627.54,0,0,4733,3/22/2024
1/30/2021,Kief,Grams,7215,3249.36,0,0,116,3249.36,116,3/22/2024
1/30/2021,Buds,Grams,7215,1677062.16,0,0,116934.27,1677062.16,116934.27,3/22/2024
1/30/2021,Infused Pre-Rolls,Grams,7215,13245.67,0,0,554.35,13245.67,554.35,3/22/2024
1/30/2021,Vape Product,Each,7215,727526.02,12513,727526.02,0,0,12513,3/22/2024
1/30/2021,Shake/Trim,Grams,7215,1080.85,0,0,95,1080.85,95,3/22/2024
1/30/2021,Infused (edible),Each,7215,689336.94,24965,689336.94,0,0,24965,3/22/2024
1/31/2021,Buds,Grams,7226,1342714.47,0,0,93505.35,1342714.47,93505.35,3/22/2024
1/31/2021,Shake/Trim (by strain),Grams,7226,15455.83,0,0,2050,15455.83,2050,3/22/2024
1/31/2021,Vape Product,Each,7226,568697.87,9900,568697.87,0,0,9900,3/22/2024
1/31/2021,Infused Pre-Rolls,Grams,7226,10629,0,0,432.1,10629,432.1,3/22/2024
1/31/2021,Infused (non-edible),Each,7226,11060.54,276,11060.54,0,0,276,3/22/2024
1/31/2021,Raw Pre-Rolls,Grams,7226,304468.27,0,0,20050.31,304468.27,20050.31,3/22/2024
1/31/2021,Concentrate,Grams,7226,40817.37,0,0,614.5,40817.37,614.5,3/22/2024
1/31/2021,Infused (edible),Each,7226,453129.5,16424,453129.5,0,0,16424,3/22/2024
1/31/2021,Kief,Grams,7226,2345.66,0,0,84,2345.66,84,3/22/2024
1/31/2021,Concentrate (Each),Each,7226,199854.19,3795,199854.19,0,0,3795,3/22/2024
1/31/2021,Shake/Trim,Grams,7226,1423.34,0,0,116,1423.34,116,3/22/2024
2/1/2021,Buds,Grams,7237,831825.12,0,0,58784.12,831825.12,58784.12,3/22/2024
2/1/2021,Raw Pre-Rolls,Grams,7237,208012.6,0,0,13907.56,208012.6,13907.56,3/22/2024
2/1/2021,Shake/Trim,Grams,7237,939.19,0,0,105,939.19,105,3/22/2024
2/1/2021,Shake/Trim (by strain),Grams,7237,6941.78,0,0,677.5,6941.78,677.5,3/22/2024
2/1/2021,Concentrate,Grams,7237,23467.78,0,0,368,23467.78,368,3/22/2024
2/1/2021,Concentrate (Each),Each,7237,103839.24,2025,103839.24,0,0,2025,3/22/2024
2/1/2021,Kief,Grams,7237,1732.88,0,0,69,1732.88,69,3/22/2024
2/1/2021,Infused (edible),Each,7237,192434.31,7076,192434.31,0,0,7076,3/22/2024
2/1/2021,Infused Pre-Rolls,Grams,7237,6532.29,0,0,284.45,6532.29,284.45,3/22/2024
2/1/2021,Vape Product,Each,7237,290600.33,5052,290600.33,0,0,5052,3/22/2024
2/1/2021,Infused (non-edible),Each,7237,3549.29,94,3549.29,0,0,94,3/22/2024
2/2/2021,Raw Pre-Rolls,Grams,7248,219640.98,0,0,14644.47,219640.98,14644.47,3/22/2024
2/2/2021,Infused Pre-Rolls,Grams,7248,6160,0,0,255.1,6160,255.1,3/22/2024
2/2/2021,Shake/Trim (by strain),Grams,7248,10869,0,0,1204.25,10869,1204.25,3/22/2024
2/2/2021,Buds,Grams,7248,882300.25,0,0,61798.62,882300.25,61798.62,3/22/2024
2/2/2021,Infused (edible),Each,7248,186744.98,7188,186744.98,0,0,7188,3/22/2024
2/2/2021,Shake/Trim,Grams,7248,358.34,0,0,33,358.34,33,3/22/2024
2/2/2021,Infused (non-edible),Each,7248,4209.31,122,4209.31,0,0,122,3/22/2024
2/2/2021,Kief,Grams,7248,2170.19,0,0,87,2170.19,87,3/22/2024
2/2/2021,Concentrate,Grams,7248,31374.51,0,0,473.8,31374.51,473.8,3/22/2024
2/2/2021,Vape Product,Each,7248,303206.42,5307,303206.42,0,0,5307,3/22/2024
2/2/2021,Concentrate (Each),Each,7248,126137.64,2465,126137.64,0,0,2465,3/22/2024
2/3/2021,Raw Pre-Rolls,Grams,7259,305791.92,0,0,20537.66,305791.92,20537.66,3/22/2024
2/3/2021,Concentrate (Each),Each,7259,167699.4,3264,167699.4,0,0,3264,3/22/2024
2/3/2021,Shake/Trim (by strain),Grams,7259,13495.35,0,0,1554.25,13495.35,1554.25,3/22/2024
2/3/2021,Vape Product,Each,7259,491499.51,8627,491499.51,0,0,8627,3/22/2024
2/3/2021,Infused Pre-Rolls,Grams,7259,8854.64,0,0,379.3,8854.64,379.3,3/22/2024
2/3/2021,Kief,Grams,7259,3137.18,0,0,128,3137.18,128,3/22/2024
2/3/2021,Concentrate,Grams,7259,44216.73,0,0,675.8,44216.73,675.8,3/22/2024
2/3/2021,Infused (edible),Each,7259,327500.07,12280,327500.07,0,0,12280,3/22/2024
2/3/2021,Infused (non-edible),Each,7259,8328.74,197,8328.74,0,0,197,3/22/2024
2/3/2021,Shake/Trim,Grams,7259,1335.18,0,0,131,1335.18,131,3/22/2024
2/3/2021,Buds,Grams,7259,1251115.58,0,0,88118.7,1251115.58,88118.7,3/22/2024
2/4/2021,Concentrate (Each),Each,7270,184146.65,3473,184146.65,0,0,3473,3/22/2024
2/4/2021,Raw Pre-Rolls,Grams,7270,319822.81,0,0,21235.76,319822.81,21235.76,3/22/2024
2/4/2021,Concentrate,Grams,7270,40516.93,0,0,612.8,40516.93,612.8,3/22/2024
2/4/2021,Buds,Grams,7270,1358991.98,0,0,95554.95,1358991.98,95554.95,3/22/2024
2/4/2021,Vape Product,Each,7270,522083.82,9141,522083.82,0,0,9141,3/22/2024
2/4/2021,Shake/Trim,Grams,7270,2805.02,0,0,241,2805.02,241,3/22/2024
2/4/2021,Infused Pre-Rolls,Grams,7270,10240.98,0,0,443.3,10240.98,443.3,3/22/2024
2/4/2021,Infused (non-edible),Each,7270,9218.23,243,9218.23,0,0,243,3/22/2024
2/4/2021,Infused (edible),Each,7270,406166.6,14793,406166.6,0,0,14793,3/22/2024
2/4/2021,Shake/Trim (by strain),Grams,7270,20841.51,0,0,2572,20841.51,2572,3/22/2024
2/4/2021,Kief,Grams,7270,3194.5,0,0,115,3194.5,115,3/22/2024
2/5/2021,Shake/Trim (by strain),Grams,7281,17505.55,0,0,2314.25,17505.55,2314.25,3/22/2024
2/5/2021,Buds,Grams,7281,1573183.01,0,0,111038.94,1573183.01,111038.94,3/22/2024
2/5/2021,Concentrate,Grams,7281,47118.86,0,0,707.1,47118.86,707.1,3/22/2024
2/5/2021,Raw Pre-Rolls,Grams,7281,401446.03,0,0,26933.51,401446.03,26933.51,3/22/2024
2/5/2021,Infused (edible),Each,7281,540268.49,19412,540268.49,0,0,19412,3/22/2024
2/5/2021,Kief,Grams,7281,3769.8,0,0,136,3769.8,136,3/22/2024
2/5/2021,Infused Pre-Rolls,Grams,7281,15599.77,0,0,638.35,15599.77,638.35,3/22/2024
2/5/2021,Vape Product,Each,7281,657356.33,11560,657356.33,0,0,11560,3/22/2024
2/5/2021,Concentrate (Each),Each,7281,222116.85,4184,222116.85,0,0,4184,3/22/2024
2/5/2021,Infused (non-edible),Each,7281,11527.9,288,11527.9,0,0,288,3/22/2024
2/5/2021,Shake/Trim,Grams,7281,1587.94,0,0,153,1587.94,153,3/22/2024
2/6/2021,Buds,Grams,7292,1821495.77,0,0,127932.75,1821495.77,127932.75,3/22/2024
2/6/2021,Shake/Trim (by strain),Grams,7292,19952.78,0,0,2682.75,19952.78,2682.75,3/22/2024
2/6/2021,Infused Pre-Rolls,Grams,7292,17369.83,0,0,705.55,17369.83,705.55,3/22/2024
2/6/2021,Raw Pre-Rolls,Grams,7292,444579.43,0,0,29586.73,444579.43,29586.73,3/22/2024
2/6/2021,Concentrate (Each),Each,7292,250513.59,4789,250513.59,0,0,4789,3/22/2024
2/6/2021,Infused (non-edible),Each,7292,17506,445,17506,0,0,445,3/22/2024
2/6/2021,Vape Product,Each,7292,762026.19,13273,762026.19,0,0,13273,3/22/2024
2/6/2021,Kief,Grams,7292,4771.5,0,0,175,4771.5,175,3/22/2024
2/6/2021,Concentrate,Grams,7292,48906.84,0,0,721.8,48906.84,721.8,3/22/2024
2/6/2021,Infused (edible),Each,7292,730133.93,26497,730133.93,0,0,26497,3/22/2024
2/6/2021,Shake/Trim,Grams,7292,2420.85,0,0,204,2420.85,204,3/22/2024
