id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
15759,C10-0000432-LIC,Surrendered,Provisional,Commercial -  Retailer,Medicinal,7/16/2019 0:00,7/15/2021 0:00,1/6/2022 0:00,University And Mass Group Inc.,University and Mass Group Inc.,Lunar Loussia,Corporation,Data Not Available,7180 University Ave,La Mesa,CA,San Diego,91942,Info@wellgreensca.Com,(858) 265-6157,Data Not Available,32.755388,-117.043364
15760,C10-0000433-LIC,Surrendered,Provisional,Commercial -  Retailer,Medicinal,7/16/2019 0:00,7/15/2021 0:00,1/6/2022 0:00,Lake Murray Group Inc.,Lake Murray Group Inc.,Lunar Loussia,Corporation,Data Not Available,5301 Lake Murray Blvd,La Mesa,CA,San Diego,91942,Info@wellgreensca.Com,(858) 265-4567,Data Not Available,32.775103,-117.044834
15761,C10-0000434-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/16/2019 0:00,7/15/2024 0:00,7/16/2019 0:00,"Los Angeles Valley Caregivers, Inc.",Sugarbudz LA,"Dildora Diaz Zayniyeva, Dmitry Levin, Felix Tsipris",Corporation,Data Not Available,6132 Wilshire Blvd,Los Angeles,CA,Los Angeles,90048,Lavcdispensary@gmail.Com,(323) 500-1040,Data Not Available,34.062918,-118.362678
15762,C10-0000435-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/16/2019 0:00,7/15/2024 0:00,7/16/2019 0:00,San Jose Wellness,Harborside,"Conrad  Gregory, Cory Azzalino, Edward Schumults, Francis Handley III, James Clark, John Nichols, Katsujin Chao, Kavi Bhai, Lisa Leder",Corporation,Data Not Available,1365 N 10th Street St,San Jose,CA,Santa Clara,95112,Licensing@statehouse.Co,(510) 344-2933,Data Not Available,37.365101,-121.899769
15763,C10-0000436-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/16/2019 0:00,7/15/2024 0:00,7/17/2023 0:00,The Garry Five LLC,ASHE SOCIETY,"Elaine Lu, Vivian Khong",Limited Liability Company,Data Not Available,3601 Garry Ave W,Santa Ana,CA,Orange,92704,Elaine@ashesociety.Com,(916) 202-8424,Data Not Available,33.705918,-117.917315
15764,C10-0000437-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/16/2019 0:00,7/15/2024 0:00,7/21/2020 0:00,"Shambala Healing Center, Inc.",Mission Cannabis Club,"Eamon Greaney, Khader ElShawa, Vivian ElShawa",Corporation,Data Not Available,2441 Mission St,San Francisco,CA,San Francisco,94110,Alshawa0712@gmail.Com,(415) 509-8664,Data Not Available,37.75796,-122.418606
17185,C10-0000438-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/16/2019 0:00,7/15/2024 0:00,7/16/2019 0:00,"Mattnjeremy, Inc",One Love Beach Club,"Amit  Pandey, Edward  Record, Ellen Harrison, Jeremy  Abrams, Michel  Serruya, Reece Fulgham, Tom Lynch",Corporation,Data Not Available,2767 Broadway E,Long Beach,CA,Los Angeles,90803,Compliance@medmen.Com,(323) 593-5110,Data Not Available,33.765747,-118.15914
17186,C10-0000439-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/16/2019 0:00,7/15/2024 0:00,7/16/2019 0:00,The Green Cross Society Of Southern California Corporation,Alternative Herbal Health Services,"Jason Beck, Scott Lambert, Sevan Derhanian",Corporation,Data Not Available,7828 Santa Monica Blvd,W Hollywood,CA,Los Angeles,90046,Ahhs215@mac.Com,(310) 508-9726,Data Not Available,34.090649,-118.360247
15766,C10-0000440-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/16/2019 0:00,7/15/2022 0:00,8/14/2022 0:00,"Green America, Inc.",Green America Inc,DR. Walter Jones,Corporation,Data Not Available,1173 Harley Knox Blvd,Perris,CA,Riverside,92571,Greenamericacorp@gmail.Com,(951) 283-3282,Data Not Available,33.858739,-117.251938
17404,C10-0000441-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/16/2019 0:00,7/15/2024 0:00,7/16/2019 0:00,Nc3 Systems,"NC3 Systems, INC.","Greg Gamet, Judith Schvimmer, Laurie  Holcomb Thompson, Marshall  Minor",Corporation,Data Not Available,1695 S 7th St,San Jose,CA,Santa Clara,95112,Larry@gocaliva.Com,(408) 297-2615,Data Not Available,37.313949,-121.865932
17187,C10-0000442-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/16/2019 0:00,7/15/2024 0:00,7/16/2019 0:00,The Source Santa Ana,MedMen OC,"Amit Pandey, Edward Record, Ellen  Harrison, Michel  Serruya",Corporation,Data Not Available,2141 Wright St S,Santa Ana,CA,Orange,92705,Compliance@medmen.Com,(323) 593-5110,Data Not Available,33.717428,-117.846706
17188,C10-0000443-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/17/2019 0:00,7/16/2020 0:00,8/15/2020 0:00,"Tfa, Inc.",Santa Cruz Mountain Herb,"kevin watts, Robert Pallares",Corporation,Data Not Available,22990 Hwy 17,Los Gatos,CA,Santa Cruz,95033,Santacruzmountainherb@gmail.Com,(408) 353-1717,Data Not Available,37.13255674,-121.9806866
17189,C10-0000444-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/17/2019 0:00,7/16/2024 0:00,2/2/2021 0:00,Cana Roots,Roots LA,"Alik Eliasian, Edvin Mailyan, Greg Eliasian",Corporation,Data Not Available,11045 Sherman Way,Sun Valley,CA,Los Angeles,91352,Greg.Eliasian@gesventures.Com,(818) 624-5210,Data Not Available,34.2016,-118.371984
17190,C10-0000445-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/17/2019 0:00,7/16/2024 0:00,7/17/2019 0:00,"P&S Ventures, LLC",The OG Collective,"Eric Hughes, Jason Beck",Limited Liability Company,Data Not Available,36380 Bankside Dr,Cathedral CTY,CA,Riverside,92234,Data Not Available,(760) 832-8939,Data Not Available,33.78315,-116.469203
17191,C10-0000446-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/17/2019 0:00,7/16/2024 0:00,9/26/2022 0:00,"Sylmar Caregivers, Inc.","SYLMAR CAREGIVERS, INC.",Glen Choi,Corporation,Data Not Available,1787 Westwood Blvd S,Los Angeles,CA,Los Angeles,90024,Glen@vertmgmt.Com,(213) 448-1859,Data Not Available,34.050337,-118.437745
17192,C10-0000447-LIC,Surrendered,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/17/2019 0:00,7/16/2024 0:00,2/14/2024 0:00,Natural Remedies Consulting,NRC Holistic Health Services Clinic,"Cheryl King, Richard King",Corporation,Data Not Available,5272 Jerusalem Ct,Modesto,CA,Stanislaus,95356,Naturalremediesconsulting@gmail.Com,(209) 404-6077,Data Not Available,37.71560267,-121.0007559
17193,C10-0000448-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/17/2019 0:00,7/16/2024 0:00,7/17/2019 0:00,"Cv Wellness, LLC",Authentic 209,"Gregory Fink, James Kim, Susan Hoy, Tak Sato",Limited Liability Company,Data Not Available,426 Mchenry Ave,Modesto,CA,Stanislaus,95354,Licensing@shrynegroup.Com,(916) 230-7868,Data Not Available,37.650399,-120.993437
17194,C10-0000449-LIC,Surrendered,Provisional,Commercial -  Retailer,Medicinal,7/17/2019 0:00,7/16/2020 0:00,1/6/2022 0:00,Northstar Marysville,Wild Seed Wellness,Jeremy Goodin,Corporation,Data Not Available,1109 Chestnut St,Marysville,CA,Yuba,95901,Jeremynhc@gmail.Com,(916) 802-0510,Data Not Available,39.14796667,-121.5860943
17195,C10-0000450-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/17/2019 0:00,7/16/2024 0:00,2/2/2021 0:00,La Organic Pharmacy Inc,LA ORGANIC PHARMACY INC,Noelle Byers-Frontz,Corporation,Data Not Available,5738 Washington Blvd W,Los Angeles,CA,Los Angeles,90016,Noellefrontz@yahoo.Com,(323) 496-9041,Data Not Available,34.034317,-118.369372
17196,C10-0000451-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use,7/17/2019 0:00,7/16/2020 0:00,8/15/2020 0:00,"Newtonian Principles, Inc.",Data Not Available,Kyle Desmet,Corporation,Data Not Available,"3400 Warner Ave W, #f-2, G",Santa Ana,CA,Orange,92704,Newtonian.Legal@gmail.Com,(714) 545-2776,Data Not Available,33.71291541,-117.9147702
17197,C10-0000452-LIC,Surrendered,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2022 0:00,1/6/2022 0:00,"Bay Pacific Networks, Inc",SPARC,"Joseph Pearson, Sean Kelley",Corporation,Data Not Available,1256 Mission St,San Francisco,CA,San Francisco,94103,Compliance@sparc.Co,(707) 584-6923,Data Not Available,37.776985,-122.414224
17198,C10-0000453-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,"Miparc, Inc.",Farm Direct,"Emily  Paxhia, Joseph Pearson, Sean Kelley",Corporation,Data Not Available,473 Haight St,San Francisco,CA,San Francisco,94117,Epearsonsf@gmail.Com,(707) 584-6923,Data Not Available,37.771976,-122.429918
17437,C10-0000454-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,"Loparc, LLC","Green Dragon, Green Dragon's Love Shack","Christopher Montana, Emily Paxhia, Glenn Standridge, Joseph Pearson, Manuel Semerdjian, Sean Kelley",Limited Liability Company,Data Not Available,502 14th St,San Francisco,CA,San Francisco,94103,Compliance@sparcsf.Org,(707) 584-6923,Data Not Available,37.768119,-122.42468
17529,C10-0000455-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,"Responsible Patient Care, Inc",SPARC,"Emily  Paxhia, Joseph Pearson, Mitchell Thompson, Sean Kelley, Timothy Crites",Corporation,Data Not Available,6771 Sebastopol Ave,Sebastopol,CA,Sonoma,95472,Compliance@sparc.Co,(707) 584-6923,Data Not Available,38.402469,-122.820291
17530,C10-0000456-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,"Responsible Patient Care, Inc",Data Not Available,"Emily Paxhia, Joseph Pearson, Mitchell Thompson, Sean Kelley, Timothy Crites",Corporation,Data Not Available,1061 N Dutton Ave,Santa Rosa,CA,Sonoma,95401,Epearsonsf@gmail.Com,(707) 584-6923,Data Not Available,38.44514161,-122.7311984
17531,C10-0000457-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,8/11/2020 0:00,"Exclusive Caregivers Of California, Inc.","EXCLUSIVE CAREGIVERS OF CALIFORNIA, INC.",MARIA CAMACHO,Corporation,Data Not Available,6200 S South Wilton Pl,Los Angeles,CA,Los Angeles,90047,Mariacamacho129@gmail.Com,(562) 688-4111,Data Not Available,33.983175,-118.314723
17532,C10-0000458-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,2/2/2021 0:00,Mother Nature's Remedy Caregiver's,Data Not Available,David Slocum,Corporation,Data Not Available,22815 Ventura Blvd,Woodland HLS,CA,Los Angeles,91364,Llttfdave@gmail.Com,(818) 436-2243,Data Not Available,34.166132,-118.623924
17533,C10-0000459-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/20/2021 0:00,"Superior Herbal Health, LLC","SUPERIOR HERBAL HEALTH, LLC","Amirsalar Shakeri, Maryam Sadrpour, Shawn Groshans",Limited Liability Company,Data Not Available,20447 W Nordhoff St,Chatsworth,CA,Los Angeles,91311,Shawn@shhdistro.Com,(310) 448-3093,Data Not Available,34.232428,-118.579306
17534,C10-0000460-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,"Marina Caregivers, Inc.","Marina Caregivers, Inc","Christine Hodgdon, Christopher Colon, Gerald Mewissen, Matt Gould, Mitch Kahn",Corporation,Data Not Available,13453 Beach Ave,Marina Del Rey,CA,Los Angeles,90292,Marinacaregivers@gmail.Com,(310) 574-4000,Data Not Available,33.990832,-118.445857
17535,C10-0000461-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,"California Patients Alliance, Inc.",House of Flowers Los Angeles,"Benjamin Bequer, Eugenio Gonzalez, Robert Knohl",Corporation,Data Not Available,180 Alvarado St S,Los Angeles,CA,Los Angeles,90057,Info@hof.La,(213) 352-4108,Data Not Available,34.064382,-118.271564
17536,C10-0000462-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,So-Cal Mm Patients Association,The Coughy Shop,"Bernhard Brandenburg, Catherine Bagnara, Glenard  Kotorri",Corporation,Data Not Available,64949 Mission Lakes Blvd,DSRT Hot SPGS,CA,Riverside,92240,Info@thecoughyshop.Com,(760) 671-6466,Data Not Available,33.975286,-116.529547
17537,C10-0000463-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,Patients Mutual Assistance Collective Corporation,Harborside,"Conrad Gregory, Edward Schmults, John Nichols, Kavi Bhai, Patricia  Brooks, Thomas DiGiovanni",Corporation,Data Not Available,1840 Embarcadero Blvd E,Oakland,CA,Alameda,94606,Licensing@statehouse.Co,(510) 610-7444,Data Not Available,37.783897,-122.242335
17538,C10-0000464-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,11/6/2019 0:00,"Uprooted, Inc.",Urbn Leaf,"Edward Schmults, John Nichols, Kavi Bhai, Wayne Scherer, Willie Senn",Corporation,Data Not Available,658 San Ysidro Blvd E,San Diego,CA,San Diego,92173,Data Not Available,(619) 663-6337,Data Not Available,32.546439,-117.033315
17539,C10-0000465-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,Compassionate Heart Mutual Benefit Association,Data Not Available,Micah Rubinstein,Sole Proprietorship,Data Not Available,190 Kuki Ln,Ukiah,CA,Mendocino,95482,Compassionateheart08@gmail.Com,(707) 462-5100,Data Not Available,39.17003764,-123.2126891
17540,C10-0000466-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2020 0:00,8/16/2020 0:00,"Heirloom Organics, LLC","Heirloom Organics, LLC",Aaron Michael Sweat,Limited Liability Company,Data Not Available,627 Summer St,Eureka,CA,Humboldt,95501,Info@heirloomo.Com,(850) 510-3483,Data Not Available,40.79995549,-124.1730299
17541,C10-0000467-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/21/2021 0:00,Green Door Redding LLC,Cookies Redding,"Aaron Kraw, Alicia Darrow, Charles (Wilder) Ramsey, Christopher Hester, David Kang, Glibert Milam, Ian Habernicht, James Rollins II, Justin Jarin, Lesjai Peronnet Chang, Miguel  Rodriguez, Parker Berling, Robert Kraw",Limited Liability Company,Data Not Available,1700 Cypress Ave E,Redding,CA,Shasta,96002,Greendoorredding@gmail.Com,(510) 812-1600,Data Not Available,40.57150179,-122.3396997
17542,C10-0000468-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/18/2019 0:00,7/17/2024 0:00,7/18/2019 0:00,Organic Greens Collective Inc.,Organic Greens Collective,"Elaine Falstrom, Kenneth Falstrom",Corporation,Data Not Available,5902 Daley St,Goleta,CA,Santa Barbara,93117,Info@ogcollective.Org,(805) 770-0580,Data Not Available,34.43108058,-119.8290783
17543,C10-0000469-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/19/2019 0:00,7/18/2022 0:00,8/17/2022 0:00,"Hollywood Holistic Healers, Inc.",Data Not Available,"Dakota Segura, Maria Colvin",Corporation,Data Not Available,8210 W Sunset Blvd,Los Angeles,CA,Los Angeles,90046,Hollywoodholistichealers@gmail.Com,(786) 897-5733,Data Not Available,34.09768514,-118.3679112
17544,C10-0000470-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/19/2019 0:00,7/18/2021 0:00,8/17/2021 0:00,"Arts District Patients Collective, Inc.",Data Not Available,Sergio Tellez,Corporation,Data Not Available,1411 Wilson St,Los Angeles,CA,Los Angeles,90021,Sdtellez@gmail.Com,(626) 417-4117,Data Not Available,34.02391837,-118.2354604
17545,C10-0000471-LIC,Surrendered,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/19/2019 0:00,7/18/2020 0:00,1/6/2022 0:00,"Pdee, Inc",All About Wellness,"Debbie Blurton, Eric Miramon, Erin Miramon, Philip Blurton",Corporation,Data Not Available,1900 19th St,Sacramento,CA,Sacramento,95811,Info@sactown420.Com,(916) 454-4327,Data Not Available,38.56697465,-121.4858187
17546,C10-0000472-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/19/2019 0:00,7/18/2024 0:00,7/19/2019 0:00,"Mission Bay, LLC",Cannabist,"David Hart, Michael Abbott, Nicholas Vita",Limited Liability Company,Data Not Available,4645 De Soto St,San Diego,CA,San Diego,92109,Jgothorpe@col-Care.Com,(978) 735-2276,Data Not Available,32.71575928,-117.1638184
17547,C10-0000473-LIC,Surrendered,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/19/2019 0:00,7/18/2021 0:00,1/6/2022 0:00,Monterey Bay Alternative Medicine,MONTEREY BAY ALTERNATIVE MEDICINE,"lonna blodgett, Robert Blodgett",Corporation,Data Not Available,800 Portola Dr,Del Rey Oaks,CA,Monterey,93940,Lonnalewis@rocketmail.Com,(831) 393-2500,Data Not Available,36.598842,-121.850293
17548,C10-0000474-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/19/2019 0:00,7/18/2024 0:00,7/20/2022 0:00,"Shangri La Care Centers, Inc.","SHANGRI LA CARE CENTERS, INC.","Jeffrey Kroll, Robert  Jeff Hoffman",Corporation,Data Not Available,408 Bryant Cir,Ojai,CA,Ventura,93023,Jeffkroll007@gmail.Com,(805) 640-6464,Data Not Available,34.44302,-119.237835
17549,C10-0000475-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/19/2019 0:00,7/18/2024 0:00,2/25/2020 0:00,"Evr Managers, LLC",Vibe by California,"Joseph Starr, Mark Waldron, Michal Holub",Limited Liability Company,Data Not Available,3270 Market St S,Redding,CA,Shasta,96001,Mike@arcadewellness.Org,(916) 217-4053,Data Not Available,40.565525,-122.388215
17583,C10-0000476-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/19/2019 0:00,7/18/2024 0:00,7/19/2019 0:00,"Herbal Solutions Southern California, Inc.",Evolv,"Cesar Lopez, John Adams, Mark Adams",Corporation,Data Not Available,25937 Western Ave,Lomita,CA,Los Angeles,90717,Markadamsd9@gmail.Com,(562) 209-0111,Data Not Available,33.787083,-118.308098
17587,C10-0000477-LIC,Expired,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/20/2019 0:00,7/19/2023 0:00,8/18/2023 0:00,No Wait Meds,no wait meds,"nader bestawros, Waleed Mona",Corporation,Data Not Available,68860 Ramon Rd,Cathedral City,CA,Riverside,92234,Nbestawros@aol.Com,(818) 219-9234,Data Not Available,33.816205,-116.460191
5707,C10-0000478-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2024 0:00,7/22/2019 0:00,"Firehouse Health Care Industries, Inc.",Firehouse365,"Cesar McGuire, Gilberto McGuire",Corporation,Data Not Available,6118 Atlantic Blvd,Maywood,CA,Los Angeles,90270,Cesarmcguire79@gmail.Com,(323) 484-0013,Data Not Available,33.9831762,-118.1861931
5807,C10-0000479-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2024 0:00,7/22/2019 0:00,"Dswc, Inc.",NUG Wellness,"Gordon Galvan, John Oram, Nico Enea",Corporation,Data Not Available,3089 Teagarden St,San Leandro,CA,Alameda,94577,John@nug.Com,(510) 409-9543,Data Not Available,37.70569399,-122.15247
17771,C10-0000480-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2021 0:00,8/20/2021 0:00,Emerald Skyway,Valley Farms,"lonna blodgett, Robert  Blodgett",Limited Liability Company,Data Not Available,1610 Moffett St,Salinas,CA,Monterey,93905,Lonnalewis@rocketmail.Com,(831) 566-0758,Data Not Available,36.659443,-121.609379
17772,C10-0000481-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2024 0:00,7/22/2019 0:00,"California Compassionate Care Network, Inc.",MMD NORTH HOLLYWOOD,Michael Ashbel,Corporation,Data Not Available,4720 N Vineland Ave,N Hollywood,CA,Los Angeles,91602,Tolucacccn@yahoo.Com,(818) 980-6337,Data Not Available,34.156062,-118.36992
17773,C10-0000482-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2024 0:00,7/22/2019 0:00,"The Leaf At 73740, LLC",The Leaf,"Edward Burger, Emily Heitman, Kevin Wilson, Micah Anderson, Paul Cotterell",Limited Liability Company,Data Not Available,73740 El Paseo,Palm Desert,CA,Riverside,92260,Compliance@leafelpaseo.Com,(760) 773-6644,Data Not Available,33.720073,-116.378253
17774,C10-0000483-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2024 0:00,7/22/2019 0:00,"Koreatown Collective, LLC","KOREATOWN COLLECTIVE, LLC",Janice Hardoon,Limited Liability Company,Data Not Available,7382 Melrose Ave W,Los Angeles,CA,Los Angeles,90046,Ktowncollective@gmail.Com,(323) 951-9513,Data Not Available,34.08343,-118.350889
17775,C10-0000484-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2024 0:00,7/22/2019 0:00,"Ldjnbw, LLC",Data Not Available,"Brittany  D'Anna, Roseann  Naumovski",Limited Liability Company,Data Not Available,4810 Camino Parocela E,Palm Springs,CA,Riverside,92264,Webbd@usc.Edu,(313) 283-4049,Data Not Available,33.814261,-116.493706
17776,C10-0000485-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2024 0:00,7/26/2022 0:00,"Asg North Bay, Inc.",Redwood Herbal Alliance,Al Eaddy,Corporation,Data Not Available,5270 Aero Dr,Santa Rosa,CA,Sonoma,95403,Redherb@sonic.Net,(707) 528-3632,Data Not Available,38.51035953,-122.7650598
17777,C10-0000486-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2024 0:00,7/22/2019 0:00,"California Organic Treatment Center, Inc.",Traditional,"Aaron Mamann, Dimitry Ginpilson, Julie Cottle",Corporation,Data Not Available,2222 Olympic Blvd,Los Angeles,CA,Los Angeles,90021,Aaron@odyssey-Insights.Com,(210) 885-0517,Data Not Available,34.025596,-118.232844
17778,C10-0000487-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/22/2019 0:00,7/21/2024 0:00,7/22/2019 0:00,Green Earth Vitality Corporation,Green Earth Collective,Daniel Reisbord,Corporation,Data Not Available,4801 York Blvd,Los Angeles,CA,Los Angeles,90042,Info@gecollective.Com,(323) 349-0949,Data Not Available,34.12236,-118.210739
17779,C10-0000488-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/23/2019 0:00,7/22/2024 0:00,11/12/2019 0:00,H Street Patient Care,Data Not Available,harry ezajian,Corporation,Data Not Available,221 H St,Needles,CA,San Bernardino,92363,Harryezajian@yahoo.Com,(818) 262-9937,Data Not Available,34.8394782,-114.6081391
17780,C10-0000489-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/23/2019 0:00,7/22/2024 0:00,11/14/2019 0:00,Cannaboutique Dispensary LLC,GOAT GLOBAL HUMBOLDT,"Alonzo Bradford, Donota Felekos",Limited Liability Company,Data Not Available,1672 Myrtle Ave,Eureka,CA,Humboldt,95501,Twoonefive@yandex.Com,(323) 384-9977,Data Not Available,40.79409075,-124.1358116
17781,C10-0000490-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/24/2019 0:00,7/23/2024 0:00,7/24/2019 0:00,"Med Thrive Cooperative, Inc.",MEDITHIRVE,"ALEXANDER PLOTITSA, Michael Breyburg",Corporation,Data Not Available,1933 Mission St,San Francisco,CA,San Francisco,94103,Mbreyburg@gmail.Com,(415) 760-2264,Data Not Available,37.76615961,-122.4195974
17782,C10-0000491-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/24/2019 0:00,7/23/2024 0:00,7/24/2019 0:00,Wfarm1045,The Westwood Farmacy,"Ann Athey, Rajesh Manek",Corporation,Data Not Available,1035 Gayley Ave,Los Angeles,CA,Los Angeles,90024,Anne@crcnoho.Com,(626) 221-2920,Data Not Available,34.06106,-118.447581
17783,C10-0000492-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/24/2019 0:00,7/23/2022 0:00,8/22/2022 0:00,"Charlie Mike, Inc.",Santa Cruz Veterans Alliance,"Aaron Newsom, Jason Sweatt, Seth Smith",Corporation,Data Not Available,2827 Rodeo Gulch Rd S,Soquel,CA,Santa Cruz,95073,Scveteransalliance@gmail.Com,(831) 431-6347,Data Not Available,36.986286,-121.970153
17784,C10-0000493-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/24/2019 0:00,7/23/2023 0:00,8/22/2023 0:00,"The Boulevard And Company, Inc.",The Kana Company,Richard Vasquez,Corporation,Data Not Available,515 Broadway,Sacramento,CA,Sacramento,95818,Mamanpopsfarms@gmail.Com,(916) 865-6474,Data Not Available,38.565647,-121.50655
17785,C10-0000494-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,7/24/2019 0:00,7/23/2024 0:00,7/24/2019 0:00,Miramar Professional Services,Mankind Dispensary,"Alana Heilman, Courtney Bernard, Dana Gagnon, Duane Bernard, Ebon  Johnson, James Schmachtenberger, Kensuke Hanaoka",Corporation,Data Not Available,7128 Miramar Rd,San Diego,CA,San Diego,92121,Compliance@mankindcannabis.Com,(855) 626-5463,Data Not Available,32.880578,-117.160606
17786,C10-0000495-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,7/24/2019 0:00,7/23/2024 0:00,2/1/2021 0:00,Patients Against Pain Inc.,High on Melrose,andrey shmykov,Corporation,Data Not Available,8016 Melrose Ave,Los Angeles,CA,Los Angeles,90046,Patientsagainstpain@gmail.Com,(213) 536-5497,Data Not Available,34.083611,-118.364379
